Fold1,Mean±Std
15.83,15.83±nan
20.00,20.00±nan
43.33,43.33±nan
66.67,66.67±nan
50.00,50.00±nan
80.83,80.83±nan
73.33,73.33±nan
89.17,89.17±nan
54.17,54.17±nan
50.83,50.83±nan
54.42,54.42±22.89
